     1720064,au1712,48,S,278.500000,2,23:03:03,20170619,      490895
       63898,au1712,52,S,278.600000,4,21:00:31,20170619,       14079
       63898,au1712,52,S,278.600000,4,21:00:31,20170619,       14080
       63898,au1712,52,S,278.600000,1,21:00:31,20170619,       14081
       75207,cu1707,52,B,45770.000000,1,21:00:50,20170619,       17313
       75207,cu1707,52,B,45770.000000,2,21:00:50,20170619,       17314
       75207,cu1707,52,B,45770.000000,1,21:00:50,20170619,       17321
       75207,cu1707,52,B,45770.000000,1,21:00:50,20170619,       17333
       75207,cu1707,52,B,45770.000000,3,21:00:51,20170619,       17379
      126862,au1712,52,S,278.750000,9,21:02:42,20170619,       34383
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52266
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52268
      178333,ni1709,52,S,74780.000000,2,21:04:20,20170619,       52273
      178333,ni1709,52,S,74780.000000,2,21:04:20,20170619,       52274
      178333,ni1709,52,S,74780.000000,2,21:04:20,20170619,       52275
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52279
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52280
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52288
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52289
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52290
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52293
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52294
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52299
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52300
      178333,ni1709,52,S,74780.000000,2,21:04:20,20170619,       52301
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52302
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52303
      178333,ni1709,52,S,74780.000000,8,21:04:20,20170619,       52304
      178333,ni1709,52,S,74780.000000,1,21:04:20,20170619,       52305
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52598
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52600
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52604
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52605
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52608
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52615
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52616
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52617
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52619
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52620
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52621
      179054,ni1709,52,S,74760.000000,3,21:04:21,20170619,       52633
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52634
      179054,ni1709,52,S,74760.000000,2,21:04:21,20170619,       52635
      179054,ni1709,52,S,74760.000000,1,21:04:21,20170619,       52638
      179054,ni1709,52,S,74760.000000,8,21:04:21,20170619,       52646
      179054,ni1709,52,S,74760.000000,4,21:04:21,20170619,       52648
      179511,ni1709,52,S,74750.000000,1,21:04:21,20170619,       52728
      179511,ni1709,52,S,74750.000000,1,21:04:21,20170619,       52729
      179511,ni1709,52,S,74750.000000,1,21:04:21,20170619,       52730
